Highest degree and occupation	occupation	variable	total
Political scientist	Social scientist	More than one race	100.0
Sociologist/anthropologist	Social scientist	More than one race	0.0
Other social scientist	Social scientist	More than one race	2000.0
Social scientist professor	Social scientist	More than one race	2000.0
Aerospace engineer	Engineering occupations	More than one race	2000.0
Chemical engineer	Engineering occupations	More than one race	1000.0
Civil engineer	Engineering occupations	More than one race	2000.0
Electrical engineer	Engineering occupations	More than one race	3000.0
Industrial engineer	Engineering occupations	More than one race	0.0
Mechanical engineer	Engineering occupations	More than one race	4000.0
Other engineer	Engineering occupations	More than one race	6000.0
Engineering occupations professor	Engineering occupations	More than one race	500.0
